,Nome do Artigo,Ano,Autores,Instituições,Num_Autores,Presença de Dois-Pontos,Presença de interrogação no título,Presença de acrônimos no título,Presença de número no título,Número de Autores,Número de Palavras-Chave,Comprimento do resumo,Comprimento do artigo,Comprimento do título (palavras),Comprimento do Título (caracteres),Número de referências,Número de figuras,Número de tabelas,Existência de apêndice,Número de anexos/apêndices,Número de seções no artigo,Número de equações/formalismos matemáticos,Idioma do artigo,Recebeu subsídios?,Open Access?,Instituições,Tipos de instituções,Número de países de origem dos autores,Lista de países dos autores,Número de continentes representados pelos autores,Número de autores homens,Número de autores mulheres,Idade média dos autores,Raça dos Autores
34,VizWiz: nearly real-time answers to visual questions,2010,"['Jeffrey P. Bigham', 'Chandrika Jayant', 'Hanjie Ji', 'Greg Little', 'Andrew Miller', 'Robert C. Miller', 'Robin Miller', 'Aubrey Tatarowicz', 'Brandyn White', 'Samual White', 'Tom Yeh']","['University of Rochester', 'University of Washington', 'University of Rochester', 'Massachusetts Institute of Technology', 'University of Central Florida', 'Massachusetts Institute of Technology', 'University of Rochester', 'Massachusetts Institute of Technology', 'University of Maryland', 'University of Rochester', 'University of Maryland']",11,TRUE,FALSE,FALSE,FALSE,11,,,,7,52,,,,,,,,EN,TRUE,FALSE,"['University of Rochester', 'University of Washington', 'University of Rochester', 'Massachusetts Institute of Technology', 'University of Central Florida', 'Massachusetts Institute of Technology', 'University of Rochester', 'Massachusetts Institute of Technology', 'University of Maryland', 'University of Rochester', 'University of Maryland']","['universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade']",1,"['Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos']",1,8,3,28,"['Branco', 'Branco', 'Amarelo', 'Branco', 'Branco', 'Branco', 'Branco', 'Branco', 'Branco', None, 'Amarelo']"
35,Mouse 2.0: Multi-touch meets the Mouse,2009,"['Nicolas Villar', 'Shahram Izadi', 'Dan Rosenfeld', 'Hrvoje Benko', 'John Helmes', 'Jonathan Westhues', 'Steve Hodges', 'Eyal Ofek', 'Alex Butler', 'Xiang Cao', 'Billy Chen']","['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']",11,TRUE,FALSE,FALSE,TRUE,11,,,,6,38,,,,,,,,EN,TRUE,FALSE,"['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']","['empresa', 'empresa', 'empresa', 'empresa', 'empresa', 'empresa', 'empresa', 'empresa', 'empresa', 'empresa', 'empresa']",6,"['Inglaterra', 'Inglaterra', 'Estados Unidos', 'Estados Unidos', 'Holanda', 'Canadá', 'Inglaterra', 'Israel', 'Inglaterra', 'China', None]",3,11,0,34,"['Pardo', 'Pardo', 'Branco', 'Branco', 'Branco', 'Branco', 'Branco', 'Branco', 'Branco', 'Amarelo', None]"
36,Bringing Physics to the Surface,2008,"['Andrew D. Wilson', 'Shahram Izadi', 'Otmar Hilliges', 'Armando Garcia-Mendoza', 'David Kirk']","['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']",5,FALSE,FALSE,FALSE,FALSE,5,,,,5,31,,,,,,,,EN,TRUE,FALSE,"['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']","['empresa', 'empresa', 'empresa', 'empresa', 'empresa']",3,"['Reino Unido', 'Reino Unido', 'Alemanha', 'Espanha', 'Reino Unido']",1,5,0,,"['Branco', None, 'Branco', 'Branco', 'Branco']"
37,ThinSight: Versatile Multi-touch Sensing for Thin Form-factor Displays,2007,"['Steve Hodges', 'Shahram Izadi', 'Alex Butler', 'Alban Rrustemi', 'Bill Buxton']","['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']",5,TRUE,FALSE,FALSE,FALSE,5,,,,8,70,,,,,,,,EN,TRUE,FALSE,"['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']","['empresa', 'empresa', 'empresa', 'empresa', 'empresa']",1,"['Reino Unido', 'Reino Unido', 'Reino Unido', 'Reino Unido', 'Reino Unido']",1,5,0,,"['Branco', None, 'Branco', 'Branco', 'Branco']"
38,"Reflective Physical Prototyping through Integrated Design, Test, and Analysis",2006,"['Björn Hartmann', 'Scott Klemmer', 'Michael Bernstein', 'Leith Abdulla', 'Brandon Burr', 'Avi Robinson-Mosher', 'Jennifer Gee']","['Stanford University', 'Stanford University', 'Stanford University', 'Stanford University', 'Stanford University', 'Stanford University', 'Stanford University']",7,FALSE,FALSE,FALSE,FALSE,7,,,,9,77,,,,,,,,EN,TRUE,FALSE,"['Stanford University', 'Stanford University', 'Stanford University', 'Stanford University', 'Stanford University', 'Stanford University', 'Stanford University']","['universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade']",2,"['Alemanha', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos']",2,6,1,45,"['Branco', 'Branco', 'Branco', 'Branco', 'Branco', None, 'Branco']"
39,Automation and Customization of Rendered Web Pages,2005,"['Michael Bolin', 'Matthew Webber', 'Philip Rha', 'Tom Wilson', 'Robert C. Miller']","['Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology']",5,FALSE,FALSE,FALSE,FALSE,5,,,,7,50,,,,,,,,EN,TRUE,FALSE,"['Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology']","['universidade', 'universidade', 'universidade', 'universidade', 'universidade']",1,"['Estados Unidos', None, None,  'Estados Unidos', 'Estados Unidos']",1,5,0,32,"[None, None, None, None, None]"
40,Multi-Finger Gestural Interaction with 3D Volumetric Displays,2004,"['Tovi Grossman', 'Daniel Wigdor', 'Ravin Balakrishnan']","['University of Toronto', 'University of Toronto', 'University of Toronto']",3,FALSE,FALSE,FALSE,TRUE,3,4.0,894.0,1.0,7,61,1.0,1,0,FALSE,0.0,6.0,0.0,EN,FALSE,TRUE,"['University of Toronto', 'University of Toronto', 'University of Toronto']","['universidade', 'universidade', 'universidade']",1,"['Canadá', 'Canadá', 'Canadá']",1,3,0,,"['Branco', 'Branco', 'Branco']"
41,CrossY: A Crossing-Based Drawing Application,2004,"['Georg Apitz', 'François Guimbretière']",['University of Maryland'],2,TRUE,FALSE,FALSE,FALSE,2,,,,5,44,,,,,,,,EN,TRUE,FALSE,['University of Maryland'],['universidade'],2,"['Alemanha', 'França']",1,2,0,,"[None, None]"
42,Perceptually-Supported Image Editing of Text and Graphics,2003,"['Eric Saund', 'David Fleet', 'Daniel Larner', 'James Mahoney']","['PARC', 'PARC', 'PARC', 'PARC']",4,FALSE,FALSE,FALSE,FALSE,4,7.0,803.0,10.0,7,57,20.0,9,0,FALSE,0.0,6.0,0.0,EN,TRUE,TRUE,"['PARC', 'PARC', 'PARC', 'PARC']","['empresa', 'empresa', 'empresa', 'empresa']",2,"['Estados Unidos', 'Canadá', None, 'Estados Unidos']",1,4,0,,"['Branco', 'Branco', 'Branco', 'Branco']"
43,Clothing Manipulation,2002,['Takeo Igarashi'],['University of Tokyo'],1,FALSE,FALSE,FALSE,FALSE,1,,,,2,21,,,,,,,,EN,TRUE,FALSE,['University of Tokyo'],['universidade'],1,['Japão'],1,1,0,27,['Amarelo']
44,Phidgets: Easy Development of Physical Interfaces through Physical Widgets,2001,"['Saul Greenberg', 'Chester Fitchett']",['University of Calgary'],2,TRUE,FALSE,FALSE,FALSE,2,,,,9,74,,,,,,,,EN,TRUE,FALSE,['University of Calgary'],['universidade'],1,"['Canadá', 'Canadá']",1,2,0,47,"['Branco', 'Branco']"
45,Sensing Techniques for Mobile Interaction,2000,"['Ken Hinckley', 'Jeff Pierce', 'Mike Sinclair', 'Eric Horvitz']","['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']",4,FALSE,FALSE,FALSE,FALSE,4,7.0,1045.0,10.0,5,41,30.0,2,0,FALSE,0.0,12.0,5.0,EN,FALSE,TRUE,"['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']","['empresa', 'empresa', 'empresa', 'empresa']",1,"['Estados Unidos', 'Estados Unidos', 'Estados Unidos', 'Estados Unidos']",1,4,0,41,"[None, None, None, None]"
46,Indigo: A Local Propagation Algorithm for Inequality Constraints,1996,"['Alan Borning', 'Richard Anderson', 'Bjorn Freeman-Benson']","['University of Washington', 'University of Washington', 'Object Technology International']",3,TRUE,FALSE,FALSE,FALSE,3,3.0,385.0,8.0,8,64,20.0,0,0,FALSE,0.0,7.0,6.0,EN,FALSE,TRUE,"['University of Washington', 'University of Washington', 'Object Technology International']","['universidade', 'universidade', 'empresa']",1,"['Estados Unidos', 'Estados Unidos', 'Estados Unidos']",1,3,0,46,"[None, None, None]"
